gender,ethnicity,score,fcollege,mcollege,home,urban,unemp,wage,distance,tuition,education,income,region
male,other,39.150001525878906,yes,no,yes,yes,6.199999809265137,8.09000015258789,0.2000000029802322,0.8891500234603882,12,high,other
female,other,48.869998931884766,no,no,yes,yes,6.199999809265137,8.09000015258789,0.2000000029802322,0.8891500234603882,12,low,other
male,other,48.7400016784668,no,no,yes,yes,6.199999809265137,8.09000015258789,0.2000000029802322,0.8891500234603882,12,low,other
male,afam,40.400001525878906,no,no,yes,yes,6.199999809265137,8.09000015258789,0.2000000029802322,0.8891500234603882,12,low,other
female,other,40.47999954223633,no,no,no,yes,5.599999904632568,8.09000015258789,0.4000000059604645,0.8891500234603882,13,low,other
male,other,54.709999084472656,no,no,yes,yes,5.599999904632568,8.09000015258789,0.4000000059604645,0.8891500234603882,12,low,other
female,other,56.06999969482422,no,no,yes,no,7.199999809265137,8.850000381469727,0.4000000059604645,0.8498799800872803,13,low,other
female,other,54.849998474121094,no,no,yes,no,7.199999809265137,8.850000381469727,0.4000000059604645,0.8498799800872803,15,low,other
male,other,64.73999786376953,yes,no,yes,yes,5.900000095367432,8.09000015258789,3.0,0.8891500234603882,13,low,
female,other,56.060001373291016,no,no,yes,yes,5.900000095367432,8.09000015258789,3.0,0.8891500234603882,15,low,other
female,other,42.220001220703125,no,no,yes,yes,5.900000095367432,8.09000015258789,3.0,0.8891500234603882,12,high,other
female,afam,61.18000030517578,no,yes,yes,yes,5.900000095367432,,3.0,0.8891500234603882,14,high,other
male,other,59.849998474121094,no,no,yes,no,7.199999809265137,8.850000381469727,0.1000000014901161,0.8498799800872803,15,low,other
female,other,,yes,no,yes,no,7.199999809265137,8.850000381469727,,0.8498799800872803,17,high,other
female,afam,53.720001220703125,yes,yes,yes,no,7.199999809265137,8.850000381469727,0.1000000014901161,0.8498799800872803,14,low,other
male,other,,no,no,yes,no,7.199999809265137,8.850000381469727,0.1000000014901161,0.8498799800872803,15,low,other
female,other,52.529998779296875,no,no,yes,no,7.199999809265137,8.850000381469727,0.1000000014901161,0.8498799800872803,12,high,other
female,other,45.0099983215332,no,no,yes,no,7.199999809265137,8.850000381469727,0.1000000014901161,0.8498799800872803,12,low,other
female,other,57.709999084472656,no,no,yes,no,7.199999809265137,8.850000381469727,0.1000000014901161,0.8498799800872803,16,low,other
female,other,59.36000061035156,yes,yes,yes,no,7.199999809265137,8.850000381469727,0.1000000014901161,0.8498799800872803,16,high,other
female,other,50.93000030517578,no,no,yes,no,7.699999809265137,7.039999961853027,0.5,0.902999997138977,13,low,other
male,other,59.560001373291016,yes,no,yes,no,7.699999809265137,7.039999961853027,0.5,0.902999997138977,14,high,other
male,other,58.459999084472656,yes,yes,yes,no,7.699999809265137,7.039999961853027,0.5,0.902999997138977,13,low,other
female,other,55.70000076293945,no,no,no,no,7.699999809265137,7.039999961853027,0.5,0.902999997138977,16,low,other
male,other,60.810001373291016,no,no,yes,no,7.699999809265137,7.039999961853027,,0.902999997138977,15,low,other
female,afam,40.599998474121094,no,no,yes,no,5.400000095367432,8.850000381469727,0.8999999761581421,0.8498799800872803,12,low,other
female,other,49.9900016784668,no,no,yes,no,5.400000095367432,8.850000381469727,0.8999999761581421,0.8498799800872803,12,low,other
male,other,59.689998626708984,no,no,yes,yes,5.099999904632568,8.850000381469727,0.5,0.8498799800872803,15,low,other
male,other,60.33000183105469,no,no,yes,yes,5.099999904632568,8.850000381469727,0.5,0.8498799800872803,16,low,other
female,other,60.13999938964844,yes,no,yes,yes,5.099999904632568,8.850000381469727,0.5,0.8498799800872803,12,high,other
female,other,68.58000183105469,yes,yes,yes,yes,5.099999904632568,8.850000381469727,0.5,0.8498799800872803,16,high,other
female,other,42.61000061035156,no,no,yes,yes,5.099999904632568,8.850000381469727,0.5,0.8498799800872803,12,low,other
male,other,58.65999984741211,yes,no,yes,yes,5.099999904632568,8.850000381469727,0.5,0.8498799800872803,16,high,other
male,other,58.13999938964844,no,no,yes,yes,5.099999904632568,8.850000381469727,0.5,0.8498799800872803,14,low,other
female,other,58.95000076293945,no,no,yes,yes,5.099999904632568,8.850000381469727,0.5,0.8498799800872803,16,low,other
male,other,49.369998931884766,no,no,yes,yes,5.400000095367432,8.850000381469727,0.2000000029802322,0.8498799800872803,17,low,other
female,other,47.25,no,yes,no,yes,5.400000095367432,8.850000381469727,0.2000000029802322,0.8498799800872803,16,low,other
male,other,61.029998779296875,yes,no,no,no,6.199999809265137,8.09000015258789,0.6000000238418579,0.8891500234603882,14,high,
male,other,54.349998474121094,no,no,no,no,6.199999809265137,,0.6000000238418579,0.8891500234603882,15,high,other
female,other,68.12000274658203,yes,yes,yes,no,6.199999809265137,8.09000015258789,0.6000000238418579,0.8891500234603882,15,high,other
male,other,70.0999984741211,yes,no,yes,no,6.199999809265137,8.09000015258789,0.6000000238418579,0.8891500234603882,17,high,other
female,other,58.61000061035156,no,no,no,no,6.199999809265137,8.09000015258789,0.6000000238418579,0.8891500234603882,15,low,
female,other,48.56999969482422,no,no,yes,no,6.199999809265137,8.09000015258789,0.6000000238418579,0.8891500234603882,12,low,other
female,other,51.11000061035156,no,no,yes,no,6.199999809265137,8.09000015258789,0.6000000238418579,0.8891500234603882,12,low,other
female,other,39.40999984741211,no,no,yes,no,6.199999809265137,8.09000015258789,0.6000000238418579,0.8891500234603882,15,low,other
female,other,54.97999954223633,yes,no,yes,no,7.199999809265137,7.039999961853027,0.1000000014901161,0.902999997138977,16,high,other
female,afam,41.59000015258789,yes,yes,no,no,7.199999809265137,7.039999961853027,0.1000000014901161,0.902999997138977,12,low,other
female,other,55.31999969482422,no,no,yes,no,7.199999809265137,7.039999961853027,0.1000000014901161,0.902999997138977,13,low,other
male,hispanic,42.22999954223633,no,no,yes,no,7.199999809265137,7.039999961853027,0.1000000014901161,0.902999997138977,12,low,other
female,other,62.0,no,no,yes,no,7.199999809265137,7.039999961853027,0.1000000014901161,0.902999997138977,16,low,other
male,hispanic,49.650001525878906,no,no,no,no,7.199999809265137,,0.1000000014901161,0.902999997138977,15,low,other
female,other,44.959999084472656,no,no,yes,no,7.199999809265137,7.039999961853027,0.1000000014901161,0.902999997138977,12,low,other
female,other,37.310001373291016,no,no,yes,no,7.199999809265137,7.039999961853027,0.1000000014901161,0.902999997138977,12,low,other
male,other,39.869998931884766,no,no,yes,no,7.199999809265137,7.039999961853027,0.1000000014901161,0.902999997138977,12,low,other
female,other,56.439998626708984,no,no,yes,no,5.400000095367432,8.850000381469727,0.1000000014901161,0.8498799800872803,16,low,other
male,afam,,no,no,yes,no,5.400000095367432,8.850000381469727,0.1000000014901161,0.8498799800872803,12,low,other
female,other,60.04999923706055,yes,yes,yes,no,5.400000095367432,8.850000381469727,0.1000000014901161,0.8498799800872803,15,high,other
female,other,38.31999969482422,no,no,no,no,5.400000095367432,8.850000381469727,0.1000000014901161,0.8498799800872803,12,low,other
female,other,65.87000274658203,yes,no,yes,no,5.400000095367432,8.850000381469727,0.1000000014901161,0.8498799800872803,15,high,other
male,other,44.650001525878906,no,no,yes,no,5.400000095367432,8.850000381469727,0.1000000014901161,0.8498799800872803,13,low,other
male,other,,no,no,yes,no,5.5,8.09000015258789,1.5,,16,high,other
male,other,60.380001068115234,yes,no,yes,no,5.5,8.09000015258789,1.5,0.8891500234603882,12,high,other
male,other,62.77000045776367,no,no,no,no,5.5,8.09000015258789,1.5,0.8891500234603882,12,high,other
male,other,59.72999954223633,no,no,yes,no,5.5,8.09000015258789,1.5,0.8891500234603882,16,low,other
female,other,57.060001373291016,yes,no,yes,no,5.5,8.09000015258789,1.5,,16,high,other
female,other,58.02000045776367,no,no,yes,no,5.5,8.09000015258789,1.5,0.8891500234603882,15,low,other
female,other,54.7400016784668,no,no,yes,no,5.5,8.09000015258789,1.5,0.8891500234603882,12,low,other
female,other,46.279998779296875,no,no,yes,no,6.900000095367432,7.039999961853027,2.0,0.902999997138977,14,low,other
female,other,60.400001525878906,no,no,yes,no,6.900000095367432,7.039999961853027,2.0,0.902999997138977,12,low,other
male,other,53.209999084472656,no,no,yes,no,6.900000095367432,,2.0,0.902999997138977,18,high,other
female,other,60.93000030517578,no,no,yes,no,6.5,8.09000015258789,1.5,0.8891500234603882,14,low,other
female,other,48.439998626708984,no,no,yes,no,6.5,8.09000015258789,1.5,,15,low,other
female,other,45.310001373291016,no,no,yes,no,7.699999809265137,7.039999961853027,2.0,0.902999997138977,12,low,other
male,other,60.220001220703125,yes,no,yes,no,7.699999809265137,7.039999961853027,2.0,0.902999997138977,12,high,other
male,other,56.41999816894531,no,no,yes,no,7.699999809265137,7.039999961853027,2.0,0.902999997138977,16,low,other
female,other,62.27000045776367,no,yes,yes,no,7.699999809265137,7.039999961853027,2.0,0.902999997138977,17,high,other
male,other,51.84000015258789,yes,yes,no,no,4.400000095367432,8.09000015258789,0.5,0.8891500234603882,18,high,
female,other,57.54999923706055,no,no,yes,no,4.400000095367432,8.09000015258789,0.5,0.8891500234603882,16,high,other
female,other,57.619998931884766,yes,no,yes,no,4.400000095367432,8.09000015258789,0.5,0.8891500234603882,12,high,other
male,other,57.5,no,yes,yes,no,4.400000095367432,8.09000015258789,0.5,0.8891500234603882,12,high,other
male,other,65.30999755859375,yes,no,yes,no,7.5,8.09000015258789,0.5,0.8891500234603882,16,low,other
male,other,50.619998931884766,yes,no,yes,no,7.5,8.09000015258789,0.5,0.8891500234603882,14,high,other
